Date,Price,Open,High,Low,Vol.,Change %
2020/6/26,270.98,275.5,276.02,269.91,879.69K,-1.85%
2020/6/29,273.74,271.28,273.74,267.46,868.81K,1.02%
2020/6/30,278.71,273.61,279.51,273.53,748.74K,1.82%
2020/7/1,279.37,278.65,280.89,277.53,945.75K,0.24%
2020/7/2,280.9,281.96,283.3,280.24,820.63K,0.55%
2020/7/6,285.34,284.46,287.19,284.12,781.11K,1.58%
2020/7/7,282.72,284.95,288.12,282.36,788.03K,-0.92%
2020/7/8,287.63,284.67,287.63,283.61,566.17K,1.74%
2020/7/9,288.79,290,290.06,284.41,602.68K,0.40%
2020/7/10,288.23,288.17,288.6,285.28,583.77K,-0.19%
2020/7/13,281.65,290.68,292.44,281,1.41M,-2.28%
2020/7/14,285.02,279.37,285.35,276.14,1.04M,1.20%
2020/7/15,286.8,287.78,288.87,283.1,850.91K,0.62%
2020/7/16,283.18,283.81,284.5,280.98,520.24K,-1.26%
2020/7/17,284.86,284.75,285.69,282.2,484.79K,0.59%
2020/7/20,292.34,285.65,293.04,284.37,657.47K,2.63%
2020/7/21,289.52,294.94,294.94,288.62,774.45K,-0.96%
2020/7/22,291.7,289.97,292.94,289.59,600.97K,0.75%
2020/7/23,284.53,290.6,292.43,283.17,1.06M,-2.46%
2020/7/24,280.86,280.16,282.89,276.39,1.30M,-1.29%
2020/7/27,285.62,282.67,285.96,282.24,698.11K,1.69%
2020/7/28,282.21,285.07,285.7,282.06,443.27K,-1.19%
2020/7/29,287.04,283.46,287.63,283.46,402.80K,1.71%
2020/7/30,288.48,284.36,288.72,282.74,439.43K,0.50%
2020/7/31,295.27,293.12,295.33,288.12,782.16K,2.35%
2020/8/3,302.18,299.48,303.24,298.75,952.96K,2.34%
2020/8/4,303.17,301.94,303.24,300.43,905.83K,0.33%
2020/8/5,304.5,304.27,305.2,303.12,517.73K,0.44%
2020/8/6,308.17,304.58,308.47,303.39,553.60K,1.21%
2020/8/7,303.19,307.14,307.14,300.7,1.02M,-1.62%
2020/8/10,302.23,303.93,304.36,298.22,681.99K,-0.32%
2020/8/11,296.88,301.29,302.81,296.51,629.37K,-1.77%
2020/8/12,303.39,299.38,304.01,299,1.07M,2.19%
2020/8/13,304.13,303.75,306.5,302.89,764.17K,0.24%
2020/8/14,303.38,304.24,304.64,301.94,413.25K,-0.25%
